Link,Titulo,Cuerpo,Autor,Fecha
https://cnnespanol.cnn.com/video/chile-manifestantes-carabineros-intentan-detener-marcha-live-cristopher-ulloa/,Enfrentamiento entre manifestantes y carabineros de Chile,"['Desde Santiago de Chile, Cristopher Ulloa muestras los enfrentamientos entre los manifestantes y los carabineros de Chile. Dieciocho personas han muerto a causa de las protestas antigubernamentales.']",['Federico Clarat'],['2019-10-23']
https://cnnespanol.cnn.com/2020/12/06/autoridades-reportan-sismo-de-61-en-chile/,"Autoridades reportan sismo de 6,1 en Chile","['(CNN Español) — La Oficina Nacional de Emergencia del Ministerio del Interior y Seguridad Pública de Chile (ONEMI) reportó este domingo un sismo de magnitud de 6,1 según indicó el Centro Sismológico Nacional.', 'El Centro Sismológico Nacional indica que la magnitud del sismo fue de 6.1 y se localizó a 30 Kms al Noreste de Pica.', '— onemichile (@onemichile) December 6, 2020', 'ONEMI informó que hasta el momento no se reportan daños personas o infraestructuras e indicó que se siguen evaluando los riesgos.', 'Según el Servicio Geológico de Estados Unidos (USGS, por sus siglas en inglés), el movimiento sísmico estuvo localizado a 97,5 kilómetros de profundidad.Sismo']",['CNN Español'],['2020/12/06']
https://cnnespanol.cnn.com/video/elecciones-referendum-chile-constitucion-mirador-mundial-rafael-romo-guillermo-holzmann-live-santiago/,Chile decide redactar una nueva Constitución,"['El profesor de la Universidad de Valparaíso y analista político, Guillermo Holzmann, nos ayuda a entender por qué el pueblo chileno decidió que dejará atrás la actual Constitución y redactará una nueva Carta Magna.']",['Rafael Romo'],['2020-10-25']
https://cnnespanol.cnn.com/2020/10/19/protestas-en-chile-580-detenidos-y-un-muerto/,Protestas en Chile: 580 detenidos y un muerto,"['(CNN Español) — Autoridades en Chile entregaron este lunes un balance de la jornada de protestas de este domingo 18 de octubre. El subsecretario del Interior y Seguridad Pública, Juan Francisco Galli, indicó que hay unos 580 detenidos a nivel nacional, de los cuales 287 son de la región metropolitana de Santiago de Chile. Entre los daños ocasionados durante las protestas, se destacan los incendios a dos iglesias: la de Carabineros y parroquia de la Asunción.', 'Por su parte, el director nacional de Orden y Seguridad de Carabineros de Chile, inspector Ricardo Yáñez, dijo que cerca de 30.000 personas se congregaron a los alrededores de Plaza Italia en la capital chilena.', 'MIRA:\xa0Las manifestaciones en Chile de este domingo dejan 18 policías heridos', 'Se registraron 107 eventos a niveles nacional, 57 de ellos en la Región Metropolitana. Se generaron aproximadamente 15 saqueos y hay 116 carabineros heridos, 58 vehículos institucionales dañados y 8 cuarteles atacados. También se reportan siete civiles heridos. Yáñez dijo que hubo un despliegue de casi 40.000 carabineros.', 'Hace instantes, el ministro del Interior, Víctor Pérez señaló que se está investigando la muerte de una persona en La Victoria (comuna de Pedro Aguirre Cerda). Hablando con medios locales, indicó que se dio en un contexto de un ataque con arma de fuego a funcionarios de carabineros. Manifestó estar “muy tranquilos” a la espera de las investigaciones que realicen las autoridades competentes.']",['Cristopher Ulloa'],['2020/10/19']
https://cnnespanol.cnn.com/2020/09/01/sismo-de-magnitud-65-sacude-region-de-chile/,"Sismo de magnitud 6,5 sacude norte de Chile","['(CNN Español) –– Un sismo de magnitud 6,5 sacudió este martes la región de Atacama en Chile, según reportes del Servicio Geológico de Estados Unidos (USGS, por sus siglas en inglés).', 'El foco sísmico estuvo localizado a 14,3 kilómetros de profundidad. El epicentro se ubicó a 95,1 kilómetros al sureste de Vallenar, en la región de Atacama, y a 121,9 kilómetros al este noreste de Copiapó en la misma región.', 'A medianoche de este martes, un sismo de 6,8 sacudió la misma región del norte de Chile.Sismo']",['CNN Español'],['2020/09/01']
https://cnnespanol.cnn.com/video/argentina-chile-frontera-pandemia-coronavirus-covid-19-rafael-bielsa-cnn-primera-manana-cnne/,Proyecciones de reapertura de fronteras con Chile,"['El embajador de Argentina en Chile, Rafael Bielsa, afirmó en CNN Primera Mañana que el gobierno de Sebastián Piñera estableció zonas de peligro latente, lo que considera un ejemplo a seguir para reducir los contagios. Analiza cuándo considera que se podrá volver a viajar entre países.']",['CNN Español'],['2020-05-25']
https://cnnespanol.cnn.com/2020/08/19/pinera-anuncia-el-retorno-del-futbol-profesional-en-chile/,Piñera anuncia el retorno del fútbol profesional en Chile,"['(CNN Español) — Este miércoles, el presidente de Chile, Sebastián Piñera, anunció el retorno del fútbol profesional para el sábado 29 de agosto bajo “estrictas medidas sanitarias” debido a la pandemia del covid-19.', 'En el marco del programa “Paso a Paso” —con el que Chile busca avanzar de forma gradual hacia el desconfinamiento—, la autoridad explicó que los partidos se realizarán, en primera instancia, sin público y con todos los resguardos necesarios.', '“Ustedes saben que en este paso a paso podemos dar pasos hacia adelante, pero también pasos hacia atrás. Este es un partido que no lo va a ganar un equipo u otro, lo va a ganar el fútbol chileno”, dijo Piñera en rueda de prensa.', 'Actualmente, en Chile se contabilizan 390.037 contagios de coronavirus y 10.578 fallecidos desde el inicio de la pandemia.Sebastián Piñera']",['Cristopher Ulloa'],['2020/08/19']
https://cnnespanol.cnn.com/video/asi-avanzo-el-coronavirus-en-brasil-chile-y-argentina/,"Así avanzó el coronavirus en Brasil, Chile y Argentina","['Así avanzó el coronavirus en Brasil, Chile y Argentina']",['Juan Andrés Muñoz'],['2020-03-18']
https://cnnespanol.cnn.com/video/enrique-navarro-es-cambio-constitucion-la-solucion-chile-cnne-fernando-del-rincon-intv/,¿Es una nueva Constitución la solución para Chile?,"['En Chile hay un innegable deseo de cambio. Se ha manifestado en las calles y el domingo también en las urnas en una consulta ciudadana no vinculante realizada por 225 municipios. Pero, ¿es necesario un cambio de Constitución en Chile? Fernando del Rincón lo discute con Enrique Navarro, profesor de la Universidad de Chile.']",['Fernando del Rincón'],['2019-12-16']
https://cnnespanol.cnn.com/2020/03/05/alerta-chile-reporta-cuarto-caso-de-nuevo-coronavirus/,Chile reporta cuarto caso de nuevo coronavirus,"['(CNN Español) — Chile informó este jueves su cuarto caso de nuevo coronavirus. Según informó el Ministerio de Salud en un comunicado, se trata de una persona de 40 años de la Región Metropolitana de Santiago que llegó el 29 de febrero desde Italia.', 'Según la nota oficial, esta persona acudió este miércoles a un centro de salud privado “con sintomatología asociada a un cuadro respiratorio”. Se encuentra en buenas condiciones generales de salud y fue enviada a su domicilio en el que permanecerá bajo vigilancia epidemiológica.', 'El Ministerio de Salud de Chile confirmó el martes el primer caso de paciente con coronavirus en el país. Es una persona de 33 años que viajó por el sudeste asiático. Este miércoles confirmaron el segundo caso, un familiar del primer paciente.']",['Florencia Trucco'],['2020/03/05']
https://cnnespanol.cnn.com/video/chile-constitucion-convencion-alejandro-ruelas-jorge-davila-fuentes-confiables-cnnee/,¿Funcionará la nueva constitución de Chile?,"['Los invitados de Fuentes Confiables dan sus opiniones sobre la nueva constitución en Chile. El profesor Alejandro Ruelas-Gossi opina que el odio puede ser un factor que contribuya a la creación del documento, mientras que el analista político Jorge Dávila Miguel comenta que los ejemplos de otros países han demostrado que nunca está garantizado que una constitución funcione.']",['José Manuel Rodríguez'],['2020-03-13']
https://cnnespanol.cnn.com/2020/07/17/sismo-de-magnitud-59-sacude-chile-descartan-tsunami/,"Sismo de magnitud 5,9 sacude Chile; descartan tsunami","['(CNN Español) — Un sismo de magnitud 5,9 sacudió Chile la madrugada de este viernes, de acuerdo con un reporte preliminar del Servicio Sismológico de Estados Unidos (USGS, por sus siglas en inglés).', 'El sismo se registró a 2 kilómetros al sur-sureste de Iquique y tuvo una profundidad de 73,8 kilómetros.', 'La Oficina Nacional de Emergencia del Ministerio del Interior y Seguridad Pública de Chile (ONEMI) dijo en Twitter que el sismo no reunía las condiciones necesarias para generar un tsunami en las costas del país.', '#SHOA indica que las características del sismo no reúnen las condiciones necesarias para generar un tsunami en las costas de Chile. Más información en https://t.co/r4IfR3uDDH', '— onemichile (@onemichile) July 17, 2020']",['CNN Español'],['2020/07/17']
https://cnnespanol.cnn.com/video/batman-comida-personas-calle-sin-techo-chile-pkg/,Un ‘Batman solidario’ reparte comida a personas sin techo en Chile,"['Un hombre disfrazado del mítico superhéroe ‘Batman’ se pasea por las noches en Chile entregando alimentos a personas en situación de calle. Desde Santiago, Cristopher Ulloa nos muestra las motivaciones de este ‘Batman Solidario’.']",['Cristopher Ulloa'],['2020-08-28']
https://cnnespanol.cnn.com/video/perro-detectan-coronavirus-chile-realidades-en-contexto-vo/,Adiestran perros en Chile para detectar a enfermos de coronavirus,['Una brigada canina es entrenada en Chile para que pueda detectar a enfermos de covid-19. Patricia Ramos nos dice qué olor y en qué parte del cuerpo buscarían olfatear los perros para dar la señal de alarma.'],['Patricia Ramos'],['2020-07-15']
